epoch,accuracy,loss,val_accuracy,val_loss
0,0.028759203851222992,4.977468490600586,0.061500001698732376,4.662700176239014
1,0.06491076946258545,4.602040767669678,0.09160000085830688,4.395443916320801
2,0.09155929833650589,4.384865760803223,0.12300000339746475,4.1889424324035645
3,0.1128661185503006,4.234122276306152,0.14669999480247498,4.0276947021484375
4,0.12974151968955994,4.107324600219727,0.16300000250339508,3.916264057159424
5,0.14217549562454224,4.019297122955322,0.17829999327659607,3.829416036605835
6,0.15160851180553436,3.9524123668670654,0.18850000202655792,3.769517660140991
7,0.16206185519695282,3.8869426250457764,0.20010000467300415,3.7176597118377686
8,0.1690540909767151,3.8417365550994873,0.20419999957084656,3.6729438304901123
9,0.1768665909767151,3.8020267486572266,0.20419999957084656,3.6607656478881836
10,0.18182818591594696,3.7637083530426025,0.22169999778270721,3.5919833183288574
11,0.1853093057870865,3.7340667247772217,0.22519999742507935,3.5461719036102295
12,0.19085107743740082,3.7018730640411377,0.2305999994277954,3.5523862838745117
13,0.1952124685049057,3.6766862869262695,0.23489999771118164,3.483001232147217
14,0.19804337620735168,3.654630422592163,0.24060000479221344,3.475534677505493
15,0.2009943127632141,3.6323657035827637,0.23880000412464142,3.5071215629577637
16,0.20527568459510803,3.6096091270446777,0.24789999425411224,3.4254262447357178
17,0.207876518368721,3.592005729675293,0.25589999556541443,3.3859992027282715
18,0.21207787096500397,3.573636054992676,0.2529999911785126,3.4094128608703613
19,0.21358834207057953,3.559650421142578,0.2583000063896179,3.3767247200012207
